2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-kudesai, U03248689 > deleted-2020-01-09-U03248689
deleted-2019-11-27-ysong2, U03253656 > deleted-2020-01-09-U03253656
deleted-2019-11-27-kishwar, U03259119 > deleted-2020-01-09-U03259119
deleted-2019-11-27-bruckner, U03259317 > deleted-2020-01-09-U03259317
deleted-2019-11-27-nicolej, U03275535 > deleted-2020-01-09-U03275535
deleted-2019-11-27-lmedward, U03298035 > deleted-2020-01-09-U03298035
deleted-2019-11-27-aseal, U03323360 > deleted-2020-01-09-U03323360
deleted-2019-11-27-seankim, U03339859 > deleted-2020-01-09-U03339859
deleted-2019-11-29-soviedo, U03341612 > deleted-2020-01-09-U03341612
deleted-2019-11-27-ydzheng, U03350405 > deleted-2020-01-09-U03350405
deleted-2019-11-27-anovak12, U03363177 > deleted-2020-01-09-U03363177
deleted-2019-11-27-jesteban, U03368271 > deleted-2020-01-09-U03368271
deleted-2019-11-27-jsquire4, U03382815 > deleted-2020-01-09-U03382815
deleted-2019-11-27-jd93, U03383427 > deleted-2020-01-09-U03383427
deleted-2019-11-27-yimingu, U03418969 > deleted-2020-01-09-U03418969
deleted-2019-11-27-miguelh, U03421442 > deleted-2020-01-09-U03421442
deleted-2019-11-27-herc98, U03436833 > deleted-2020-01-09-U03436833
deleted-2019-11-27-amybrack, U03485307 > deleted-2020-01-09-U03485307
deleted-2019-11-27-cassrog, U03497070 > deleted-2020-01-09-U03497070
deleted-2019-11-27-lkrussow, U03500129 > deleted-2020-01-09-U03500129
deleted-2019-11-27-xlx, U03507131 > deleted-2020-01-09-U03507131
deleted-2019-11-27-leahjule, U03516131 > deleted-2020-01-09-U03516131
deleted-2019-11-27-jhwang1, U03516627 > deleted-2020-01-09-U03516627
deleted-2019-11-27-bdong, U03538993 > deleted-2020-01-09-U03538993
deleted-2019-11-27-agnesz, U03555453 > deleted-2020-01-09-U03555453
deleted-2019-11-27-ahampton, U03588439 > deleted-2020-01-09-U03588439
